id,geom,n,smiles,refcodes
SP38,SP,4,c1ccc(C[N:1]2CCC[S:1]CCC[NH:1]CCC[S:1]CCC2)cc1,BABDIS
SP39,SP,3,C(C[NH:1]CC[NH2:1])[NH2:1],BAHNUT;DIBLOQ;DIBMAD;DILKAK;EBAHEV;ENGUPD;ENXPTA10;ICOMUJ;IFAGEC;INOSPT;JONLAZ;NOMPOU;NOMPUA;OHEVEC;OHEVIG;OHONOP;OHOPEH;OHOPOR;RETDOL;RIPDOJ;SISCIG;SOYWIM;TEPZOG;TGUOPT;TOZZAJ;TUCCUP;TUCDAW;VEDZAG;VEDZIO;YEYKAO
SP40,SP,2,C(C[NH2:1])[NH2:1],BAHVEL;BAHVEL;BENMAI;BENMEM;BOMSAX;BONQIE;BONQOK;CIYTOT;COSTOT;CUDKAP;CUDKAP;CUVWAR01;CUVWAR01;DAMVAO;DAMVAO;EHAROU;EHARUA;ENPSEP;ENPSEP;ENPSEP;ENPTAR;ENPTAR;ENPTCA;ENPTCL;ENPTCL;ENPTIP10;ENPTIP10;ENXPTB10;ETAQIA;ETAQOG;ETOBAR;ETOBIZ;ETOBUL;ETOCAS;EWOBUN;EWOBUN;FEXROP;FEZJEA;FEZJIE;GEMKAM;GEMKAM;GEMKEQ;GEMKEQ;GESFIT;GESFIT;HISBUJ;HISBUJ;HUTDUW;IJUQUB;IJUQUB;ITEDIW;ITEDIW;ITOBUP;ITOBUP;ITOCOK;JEGHUY;JEGHUY;LERFOF;LERFOF;MENJOE;NARCOZ;NARCOZ;NARCUF;NARCUF;NICXOM;PDCLED;PDCLED;PEBTOF11;PEBTOF11;PESJON;PTENOM;PTENOM;QOJJEE;QOJJII;QOJJOO;RAYQUE;REMMIF;SETRUH;SETRUH;SETSAO;SETSAO;SETSES;SETSES;SETSIW;SETSIW;SIMMOQ;TERZOG;TUBKAE;UKAGUI;VUKMIZ01;WAQHAX;WETLIQ;WETLIQ;WEWBOR;XAYJUD;YECPOO;YECPOO;ZZZEDM02;ZZZEDM02;ZZZEDM03;ZZZEDM03
SP41,SP,3,Cc1cc(C)c(N2C=C[N+](c3cccc(N4C=C[N+](c5c(C)cc(C)cc5C)=[C-:1]4)[n:1]3)=[C-:1]2)c(C)c1,BAJNAD;BAJNEH;SASMOR;VADDIQ;VADHOA
SP42,SP,2,OC1C[S:1]CCC[S:1]C1,BANMIN;BANMIN
SP43,SP,2,Cc1c(C)c2ccc[n:1]c2c2c1ccc[n:1]2,BANVET
SP44,SP,2,C1C[S:1]CC[S:1]CCS1,BANVET;FAPBAZ;FAPBAZ;FAPBAZ01;FAPBAZ01;FAPBED;FAPBED;FIWMUU;FIWMUU;FIWNAB;FIWNAB;FIWNEF;FIWNEF;NIDQOG;NIDQOG;QABRAO;QABRAO;QABRAO;RUVBEQ;RUVBIU;RUVBOA;UHAPAU;UHAPAU;UHAPEY;UHAPEY;UKAKUN;UKALAU;URIXUP;URIXUP;URIXUP;XOLJIS;XOLJIS
SP45,SP,2,CCOP(OCC)(C(c1ccccc1)[P:1](c1ccccc1)c1ccccc1)=[O:1],BAPJOS;BAPJOS
SP46,SP,2,C(C[N:1]1CC1)[NH2:1],BARCEE;BARCEE
SP47,SP,2,C1CCC([NH2:1])C([NH2:1])C1,BEBBUG;BEBCAN;CHXNPT;CHXNPT;COCZEZ;COKFAL;DEPBAC;DEPBAC;DEQTUP;DEQVAX;EHARIO;GOBDEI;ILAQUH;IQEMUO;KAHMEN;KASXIL10;LERHAU;QEXRET;SIXYUT;SIXYUT;SUQKOG;SUQKUM;SUQLAT;SUQLEX;TEPREN;TINFEB;WAWSIW;WAWSOC;ZZZATJ01;ZZZATJ01
SP48,SP,2,c1cc2ccc3ccc[n:1]c3c2[n:1]c1,BEBCAN;BONQIE;BONQOK;CIDVUH;CIQZEK;CIYTOT;COSTOT;FARZUT;GEYLIH;GEYLUT;HINCUC;ILAHAE;JOYWEZ;JOYWEZ;KELDEM;KURQOE;LIXPOZ;LIXPOZ01;NAKDUB;NAKDUB;NEJWOR;NELQIG;NELQIG;NELQIG01;NELQIG01;NELQIG02;NELQIG02;NOXXUT;NOXXUT;OJAFAG;OJAFEK;OYUHOG;PLPTCL;PLPTCL;PNTLPD;PNTLPD;QIMTOV;QOJJII;RIQMOU;TEPRAJ;TEPREN;TIHYIU;WEBQIG;WEBQIG;WEBQOM;WEBQOM;WEBQUS;WEBQUS;WEBQUS;WIVNEV;WIVNEV01;XENFIH;XENFIH;YIWVOR;YIWVOR;ZEFTUZ;ZEFTUZ
SP49,SP,2,NC(C(N)=[N:1]O)=[N:1]O,BEJSUE;BEJSUE;BEJSUE;BEJSUE;BEKBAU;BEKBAU;BIWWAF;DOGCAD;DOGCAD;DOGCIL;DOGCIL;OXOXPD;OXOXPD;OXOXPD;OXOXPD
SP50,SP,2,c1cc[n:1]c(-c2nccnc2-c2cccc[n:1]2)c1,BELFAB;BELFEF;BELFIJ
SP51,SP,3,C[N:1](Cc1cccc[n:1]1)Cc1cccc[n:1]1,BELNAJ;BELNEN
SP52,SP,2,c1cnc(-c2nccc[n:1]2)[n:1]c1,BEMYOJ;BEMYOJ;XATXIZ
SP53,SP,2,CC[P:1](CC)CCC[P:1](CC)CC,BEVFEO;BEVFEO
SP54,SP,2,CC[P:1](CC)Cc1ccccc1C[P:1](CC)CC,BEVFIS;BEVFIS
SP55,SP,4,c1ccc2c(c1)N1CC[NH:1]CCN3c4ccccc4[N+](=[C-:1]3)Cc3cccc([n:1]3)C[N+]2=[C-:1]1,BEWTEF;BEWTIJ
SP56,SP,4,c1ccc2c(c1)N1CC[NH:1]CCN3c4ccccc4[N+](=[C-:1]3)CC[NH:1]CC[N+]2=[C-:1]1,BEWTUV;BEWVAD
SP57,SP,2,COc1ccc(N2C[P:1](c3ccccc3)CC[P:1](c3ccccc3)C2)cc1,BIDLOS;BIDLOS
SP58,SP,2,CC(c1cccc[n:1]1)(c1cccc[n:1]1)N1CCCC1,BIFDEC;BIFFAA
SP59,SP,4,CC1(C)C[NH:1]CC(C)(C)C[S:1]CC(C)(C)C[NH:1]CC(C)(C)C[S:1]C1,BIFTEP;CAHSOT
SP60,SP,2,Cc1cc[n:1]c(-c2cc(C)cc[n:1]2)c1,BIKNOA;QAYKOR;QAYKOR;SUQKUM;TIHVOW;TIHVOW;TIHYUG;YIGMUW;YIGMUW
SP61,SP,3,c1cc[n:1]c(-c2cc(-c3ccc(OCCCCN4CCOCC4)cc3)cc(-c3cccc[n:1]3)[n:1]2)c1,BIVGOF
SP62,SP,2,NC(C(N)=[N:1]O)=[N:1][O-],BIWWAF
SP63,SP,2,c1ccc2c(c1)C[S:1]CCC[S:1]Cc1ccccc1OCCO2,BIWXAH;BIWXAH;SOQGEL;SOQGEL
SP64,SP,2,c1ccc2c(c1)C[S:1]CCC[S:1]Cc1ccccc1OCO2,BIWXAH;BIWXAH;NIMBOC;NIMBOC
SP65,SP,2,c1ccc(C[NH:1]CCC[NH2:1])cc1,BIZCEV
SP66,SP,2,c1cc[n:1]c(-c2cn(Cc3ccncc3)n[n:1]2)c1,BOCDUV;BOCDUV;BOCFOR;BOCFOR;BOCFUX;BOCFUX;BOCGAE;BOCGAE;IGASAN;IGASAN
SP67,SP,2,CC(C)(C[NH2:1])[NH2:1],BOCFEE;BOCFEE
SP68,SP,2,C1CC[N:1](CC[NH2:1])C1,BOCFII;BOCFII;PIXVUQ;PIXVUQ;PIXWAX;PIXWAX
SP69,SP,3,C(c1ccccc1[O-:1])=[N:1]c1ccccc1[O-:1],BOCGAE;YAYJOY
SP70,SP,2,c1cc[n:1]c(CCc2cccc[n:1]2)c1,BOTHAT;CAMFAX
SP71,SP,2,CCN1c2ccccc2[N+](Cc2cccc[n:1]2)=[C-:1]1,BOYPIP;BOYPIP;BOYQAI;BOYQAI
SP72,SP,2,CCCN1c2ccccc2[N+](Cc2cccc[n:1]2)=[C-:1]1,BOYPOV;BOYPOV
SP73,SP,2,CCCCN1c2ccccc2[N+](Cc2cccc[n:1]2)=[C-:1]1,BOYPUB;BOYPUB
SP74,SP,2,CCCC[N:1]=Cc1ccccc1[O-:1],BSALPD;BSALPD
SP75,SP,2,COc1ccccc1[P:1](CC(C)(C)C[P:1](c1ccccc1OC)c1ccccc1OC)c1ccccc1OC,BUGWEG;BUGWEG
SP76,SP,2,C[N:1](C)CC[NH2:1],BUHBAI;SIXXEC;SIXXEC
SP77,SP,4,CC1=[N:1]OCC(C)=[N:1]OCC(C)=[N:1]OCC(C)=[N:1]OC1,BUKRIJ
SP78,SP,2,C1[NH2+]CC([NH2:1])C1[NH2:1],BUNQAC;BUNQAC
SP79,SP,2,CC(C)(C)C1=CC(=[NH:1])C([S-:1])C(C(C)(C)C)=C1,BUQCAR;BUQCAR
SP80,SP,4,C1=[N:1]c2ccccc2C=[N:1]c2ccccc2C=[N:1]c2ccccc2C=[N:1]c2ccccc21,BZHXDA;BZHXDB;TBZHPD10
SP81,SP,2,C1C[NH:1]CC[NH:1]CCN1,CACMOI;CACMOI;GELBAA;GELBAA;TUNQAW
SP82,SP,3,C[N:1](CCC[NH:1]Cc1ccccc1)CCC[NH:1]Cc1ccccc1,CADJAS;CADKUN;CADKUN01
SP83,SP,2,c1ccc([P:1](c2ccccc2)c2ccccc2-c2ccccc2[P:1](c2ccccc2)c2ccccc2)cc1,CADQII;CADQOO;MOJXUE
SP84,SP,2,c1ccc2c(-c3c([NH2:1])ccc4ccccc34)c([NH2:1])ccc2c1,CADQOO;LUJBIE
SP85,SP,2,COc1ccc2c(c1)C(=[N:1]N=C(SC)[S-:1])C(=O)N2CCN1CCOCC1,CAGLII;CAGLII
SP86,SP,2,CC(C)(C[NH2:1])C[NH2:1],CAMFAX
SP87,SP,2,O=c1c([S-:1])c([S-:1])c(=O)c1=O,CAPYUO;CAPYUO
SP88,SP,2,c1ccc2c(C[NH:1]CC[NH:1]Cc3c4ccccc4cc4ccccc34)c3ccccc3cc2c1,CAPZOJ;CAPZOJ
SP89,SP,2,CC(C)(C)N1C=C[N+](CC[S:1]c2ccccc2)=[C-:1]1,CATQAS;CATQAS
SP90,SP,2,CC(C)(C)N1C=C[N+](CCC[S:1]c2ccccc2)=[C-:1]1,CATQIA;CATQIA
SP91,SP,2,COc1c(C(C)(C)C)cc([P:1](c2cc(C(C)(C)C)c(OC)c(C(C)(C)C)c2)c2ccc3c(c2-c2c([P:1](c4cc(C(C)(C)C)c(OC)c(C(C)(C)C)c4)c4cc(C(C)(C)C)c(OC)c(C(C)(C)C)c4)ccc4c2OCO4)OCO3)cc1C(C)(C)C,CEDJIF
SP92,SP,4,CC1(O)CC(C)(O)[P:1](C)CC[P:1](C)C(C)(O)CC(C)(O)[P:1](C)CC[P:1]1C,CEFYER
SP93,SP,3,c1ccc2c(c1)C[S:1]CC[S:1]CC[S:1]Cc1ccccc1OCO2,CEHXET
SP94,SP,2,C1C[N-:1]CC[N-:1]C1,CENPIV
SP95,SP,2,c1ccc([P:1]2CC[P:1](c3ccccc3)CC2)cc1,CEQROG;CEQROG;CEQRUM;CEQRUM;MIGGOZ;MIGGOZ
SP96,SP,2,Cc1cccc(C)c1[NH+]=[C-:1]Nc1ccccc1[C-:1]=[NH+]c1c(C)cccc1C,CERWED
SP97,SP,2,C[S:1]Cc1ccccc1C[S:1]C,CEXBUD;CEXBUD
SP98,SP,2,c1ccc([P:1]2Cc3ccc4ccccc4c3-c3c(ccc4ccccc34)C2)c([P:1]2Cc3ccc4ccccc4c3-c3c(ccc4ccccc34)C2)c1,CEYMUP
SP99,SP,2,CC(C)(C)[P:1](Cc1ccccc1[P:1]1C2CCCC1CCC2)C(C)(C)C,CIFJIL
SP100,SP,2,C1CC2CCCC(C1)[P:1]2CC[P:1]1C2CCCC1CCC2,CIFJOR;JOGFUH
SP101,SP,2,Cc1cc(-c2ccccc2)n(CC[OH:1])[n:1]1,CIMSIC;CIMSIC
SP102,SP,2,c1ccc([NH2:1])c(-c2ccccc2[NH2:1])c1,COCZEZ
SP103,SP,4,Cc1cc(C)[n:1]n1CC[N:1](C)CC[N:1](C)CCn1c(C)cc(C)[n:1]1,COJNAR
SP104,SP,2,c1cc2c3nccnc3c3ccc[n:1]c3c2[n:1]c1,COKFAL
SP105,SP,3,CC(C)N1N=C(c2cccc[n:1]2)[N-:1]N(c2cccc[n:1]2)C1=O,CONZIR
SP106,SP,4,CC1(c2cccc[n:1]2)C[N:1](CC[NH:1]Cc2cccc[n:1]2)C1,COSPOQ
SP107,SP,2,Cn1ccc(=[N:1]CC[N:1]=c2ccn(C)cc2)cc1,COTDOH;COTDOH
SP108,SP,2,Cc1cc(C)c(N2C=C[N+](CS(C)=[O:1])=[C-:1]2)c(C)c1,CUDNEW
SP109,SP,2,Cc1cc(C)c(N2C=C[N+](C[S:1](C)=O)=[C-:1]2)c(C)c1,CUDNEW
SP110,SP,2,CN1c2ccccc2[N+](CN2c3ccccc3[N+](C)=[C-:1]2)=[C-:1]1,CUMTAG
SP111,SP,2,CC1=C(C)[N+](C)=[C-:1]N1C[N+]1=[C-:1]N(C)C(C)=C1C,CUPNUX
SP112,SP,4,c1ccc([P:1]2CCC[S:1]c3ccccc3[P:1](c3ccccc3)CCC[S:1]c3ccccc32)cc1,CUYXUP;CUYXUP10
SP113,SP,2,C1CC([NH2:1])CC([NH2:1])C1,DACHPD;DACHPD
SP114,SP,2,Cc1cccc(C[NH:1]CC[NH:1]Cc2cccc(C)n2)n1,DAGYIT;DAGYIT;DAGYIT01;DAGYIT01
SP115,SP,4,Cc1cccc(C[NH:1]CC[NH:1]Cc2cccc(C)[n:1]2)[n:1]1,DAGYOZ
SP116,SP,4,Cc1cccc(C[NH:1]CCC[NH:1]Cc2cccc(C)[n:1]2)[n:1]1,DAGYUF
SP117,SP,2,C1NCC([NH2:1])CC1[NH2:1],DAMPPD10;DAMPPD10;HDPDNT10
SP118,SP,2,CC(C[NH2:1])[NH2:1],DAPNPT;DAPNPT;PDPTCL;PDPTCL;PDPTCL01;PDPTCL01;PEPTAS;YAZMUH;YAZMUH;ZZZATD11;ZZZATD11
SP119,SP,2,CC(C(C)[P:1](c1ccccc1)c1ccccc1)[P:1](c1ccccc1)c1ccccc1,DAVTUQ;NEXHOP
SP120,SP,2,COc1ccccc1[P:1](CC[P:1](c1ccccc1)c1ccccc1OC)c1ccccc1,DAVVAY
SP121,SP,2,c1ccc([P:1](C[P:1](c2ccccc2)c2ccccc2)c2ccccc2)cc1,DAYQUQ;QIMTOV;TIJRUZ;UCUVIY
SP122,SP,2,c1ccc(P(CP(c2ccccc2)(c2ccccc2)=[S:1])(c2ccccc2)=[S:1])cc1,DAYQUQ;UCUVEU;UCUVIY
